Micrometro/rayas	mm	promedio	Contador				
549	5.49	306.4	284.0	305.0	323.0	318.0	302.0
552	5.52	310.0	311.0	309.0	322.0	295.0	313.0
555	5.55	301.6	301.0	300.0	302.0	301.0	304.0
558	5.58	292.0	310.0	265.0	288.0	302.0	295.0
561	5.61	274.0	276.0	275.0	277.0	270.0	272.0
564	5.64	263.8	258.0	270.0	281.0	251.0	259.0
567	5.67	251.4	252.0	249.0	246.0	259.0	251.0
570	5.7	247.2	264.0	250.0	254.0	247.0	221.0
573	5.73	238.6	245.0	240.0	235.0	242.0	231.0
576	5.76	222.6	211.0	210.0	226.0	248.0	218.0
579	5.79	222.6	210.0	216.0	228.0	235.0	224.0
582	5.82	219.2	205.0	220.0	230.0	225.0	216.0
585	5.85	215.8	213.0	226.0	223.0	213.0	204.0
588	5.88	212.0	200.0	215.0	215.0	216.0	214.0
591	5.91	199.2	199.0	192.0	198.0	205.0	202.0
594	5.94	202.0	192.0	204.0	208.0	212.0	194.0
597	5.97	204.2	204.0	196.0	205.0	206.0	210.0
600	6	200.2	197.0	205.0	203.0	187.0	209.0
603	6.03	200.6	201.0	194.0	196.0	198.0	214.0
606	6.06	197.0	207.0	200.0	192.0	192.0	194.0
609	6.09	198.6	185.0	192.0	208.0	197.0	211.0
612	6.12	190.6	206.0	189.0	182.0	198.0	178.0
615	6.15	185.4	187.0	184.0	188.0	181.0	187.0
618	6.18	195.2	191.0	198.0	196.0	205.0	186.0
621	6.21	183.2	189.0	173.0	177.0	189.0	188.0
624	6.24	180.4	178.0	167.0	203.0	174.0	180.0
627	6.27	174.0	172.0	183.0	179.0	167.0	169.0
630	6.3	177.4	176.0	181.0	178.0	185.0	167.0
633	6.33	174.6	169.0	172.0	183.0	184.0	165.0
636	6.36	167.4	169.0	169.0	162.0	174.0	163.0
639	6.39	164.0	170.0	171.0	157.0	153.0	169.0
642	6.42	161.0	151.0	151.0	163.0	179.0	161.0
645	6.45	164.2	144.0	172.0	170.0	165.0	170.0
648	6.48	162.4	153.0	159.0	179.0	165.0	156.0
651	6.51	159.4	150.0	157.0	162.0	159.0	169.0
654	6.54	147.6	126.0	153.0	159.0	151.0	149.0
657	6.57	145.8	145.0	142.0	153.0	144.0	145.0
660	6.6	135.6	131.0	137.0	143.0	130.0	137.0
663	6.63	143.8	148.0	143.0	143.0	142.0	143.0
666	6.66	136.4	138.0	131.0	138.0	135.0	140.0
669	6.69	137.2	137.0	140.0	134.0	129.0	146.0
672	6.72	123.6	111.0	119.0	126.0	129.0	133.0
